feature,n,scaled,estimate,std_error,statistic,p_value,odds_ratio,conf_low,conf_high,p_adj
q8trans_I_n_pep,46617,TRUE,-0.010144547071603185,0.009609060991135277,-1.0557272017486323,0.29109286578273513,0.9899067352874393,0.9714375380072908,1.0087270732583962,0.40025269045126083
q8trans_G_pep_c,46617,TRUE,-0.009060276036644376,0.009338298830620194,-0.9702276828982829,0.3319330149108602,0.9909806445869848,0.9730076429951003,1.0092856361571056,0.44527599561212955
q8point_B_cflank,46617,TRUE,0.008687915928150887,0.00926446179128606,0.9377680132830317,0.3483636426292922,1.0087257654013484,0.9905742741006216,1.0272098684456412,0.4455814033630482
q8trans_S_pep_c,46617,TRUE,-0.00895048908187562,0.00944094501132597,-0.9480501232808826,0.3431039378746665,0.9910894473066391,0.972918714589294,1.0095995460188345,0.4455814033630482
q8trans_I_pep_c,46617,TRUE,-0.008773711339062776,0.009688964981506534,-0.9055364897911474,0.3651812375859475,0.9912646653489283,0.9726177970987799,1.0102690282866873,0.4564765469824344
q8point_S_cflank,46617,TRUE,-0.00786865077871873,0.00929283330578885,-0.8467439929022569,0.3971378318950378,0.9921622260145091,0.974254608900495,1.0103990001556213,0.4853906834272685
q8point_T_nflank,46617,TRUE,-0.00770394875081764,0.009291723855676512,-0.8291194261128556,0.4070368323334805,0.9923256506029517,0.9744172027147381,1.0105632311305228,0.48667447344220494
q8point_C_cflank,46617,TRUE,0.007536450192235127,0.00929162389967174,0.8111015118144611,0.41730737774184323,1.0075649207102577,0.9893816443637825,1.0260823770373053,0.48833842076173145
q8point_E_cflank,46617,TRUE,0.007140695622075914,0.009285379698327404,0.76902569997888,0.441878053990328,1.007166251181002,0.9890022734888917,1.0256638277883456,0.5063186035305841
mean_rsa_peptide,46617,TRUE,0.006749687453778718,0.00928739555808309,0.7267578312527314,0.4673743194843121,1.0067725179314315,0.9886117350177938,1.025266914157914,0.5246038279925952
q8point_B_peptide,46617,TRUE,-0.0053437286565470145,0.009323034414057307,-0.5731748290545533,0.5665263254686987,0.9946705236632861,0.9766598197993102,1.0130133651324953,0.6231789580155687
q8point_I_cflank,46617,TRUE,-0.005028111261167406,0.009403588544313819,-0.5347013257197237,0.5928564046266256,0.9949845085301621,0.9768138817722982,1.0134931440765318,0.6393549461659688
rel_distance_from_c_terminus,46617,TRUE,0.004583783386818484,0.009288202747738297,0.4935059571061417,0.6216551316960264,1.0045943049919974,0.9864712533360366,1.0230503060372222,0.6546641249102891
q8trans_E_pep_c,46617,TRUE,0.004461629499277526,0.009285015516370846,0.48051933692636467,0.6308581567317332,1.0044715973869993,0.9863569211233277,1.0229189539301013,0.6546641249102891
q8point_T_peptide,46617,TRUE,0.003309075209623246,0.009286529449842948,0.35633066448512785,0.7215929474887868,1.0033145562430446,0.9852178226495821,1.0217436952794696,0.7349557798496903
mean_rsa_nflank,46580,TRUE,-0.002562511483480549,0.009292123673329392,-0.2757724255043621,0.7827228639990489,0.9974407689464262,0.9794392412607128,1.0157731543161777,0.7827228639990489
q8trans_B_n_pep,46617,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
q8trans_B_pep_c,46617,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
