feature,n,scaled,estimate,std_error,statistic,p_value,odds_ratio,conf_low,conf_high,p_adj
q8point_E_nflank,46617,FALSE,-0.03432350664867942,0.02255195904772074,-1.5219745023503133,0.12801546965770536,0.9662588629028989,0.9244786274459519,1.009927284871697,0.2133591160961756
q8point_S_nflank,46617,FALSE,-0.03682020561602167,0.024576847863098474,-1.498166315758755,0.13409004485311782,0.963849414483004,0.9185207095604395,1.0114150765787389,0.2169103666741612
q8point_I_peptide,46617,FALSE,-0.3817860375342361,0.2630208220365762,-1.4515430169294514,0.1466287129390413,0.68264109715325,0.4076660891000869,1.1430896019614343,0.23041654890420776
PC3,46617,FALSE,-0.009120053482835226,0.006373549375847663,-1.4309222295186639,0.15245250530300244,0.9909214080653485,0.9786196601419344,1.0033777952302725,0.23291354976847595
q8trans_T_n_pep,46617,FALSE,-0.07401714542832072,0.057725467262166145,-1.282226873836538,0.19976307159919154,0.928655771503825,0.8293118145099067,1.039900224328786,0.2969451064312307
q8trans_S_n_pep,46617,FALSE,0.16769369545000212,0.14244550691404215,1.1772480514334218,0.23909651472390198,1.1825743272689666,0.8944918403472498,1.5634374473139356,0.3460607449951213
q8point_G_cflank,46617,FALSE,0.05063283708034879,0.04379641886829754,1.1560953700942853,0.24764214961761663,1.0519365902597029,0.9654044522943405,1.1462248669947401,0.3492389289479209
q8trans_I_n_pep,46617,FALSE,-0.4000178075494849,0.3789026245478963,-1.0557272017494814,0.2910928657823471,0.6703081093845303,0.31896721631103225,1.4086493486795462,0.40025269045072726
q8trans_G_pep_c,46617,FALSE,-0.10922384925290683,0.11257548220714667,-0.9702276828974838,0.33193301491125843,0.896529707529446,0.7190159094042967,1.1178688899231064,0.4452759956126638
q8point_B_cflank,46617,FALSE,0.11665703593689833,0.12439860848809531,0.9377680132817737,0.34836364262993885,1.1237339632278691,0.8805890356830645,1.434015152292112,0.4455814033638753
q8trans_S_pep_c,46617,FALSE,-0.24558815708546955,0.25904554100392907,-0.9480501232860232,0.3431039378720495,0.7822443203753384,0.4708021120807889,1.2997099228273492,0.4455814033638753
q8trans_I_pep_c,46617,FALSE,-0.4595212355400544,0.5074574472906332,-0.9055364897953215,0.3651812375837373,0.6315859540420564,0.23360168094454697,1.7076110742452524,0.4564765469796716
q8point_S_cflank,46617,FALSE,-0.020367285160543147,0.024053651789944376,-0.846743992904133,0.39713783189399177,0.9798387269851833,0.9347160901809068,1.0271396213091057,0.48539068342598995
q8point_T_nflank,46617,FALSE,-0.018318794249306648,0.02209427697915762,-0.8291194261114527,0.4070368323342742,0.9818479749723903,0.9402367468025727,1.0253007545553905,0.4866744734431539
q8point_C_cflank,46617,FALSE,0.01789241177875584,0.022059398876873797,0.8111015118147005,0.4173073777417056,1.0180534399387489,0.9749744533499524,1.06303586007818,0.4883384207615704
q8point_E_cflank,46617,FALSE,0.016697138023873393,0.021712067651702017,0.7690256999804668,0.4418780539893861,1.0168373143272231,0.9744729535771343,1.0610434286684975,0.5063186035295049
mean_rsa_peptide,46617,FALSE,0.046722620385532466,0.06428911857061885,0.7267578312527285,0.46737431948431374,1.0478313217181001,0.9237774863193697,1.1885443140080116,0.524603827992597
q8point_B_peptide,46617,FALSE,-0.08115430125352664,0.14158734323231567,-0.573174829054947,0.5665263254684323,0.9220514067796571,0.6986080008465245,1.2169611509088893,0.6231789580152756
q8point_I_cflank,46617,FALSE,-0.20165477493068842,0.3771353561880513,-0.534701325722792,0.5928564046245036,0.8173770582918024,0.39029981723672025,1.71177445111779,0.6393549461636804
rel_distance_from_c_terminus,46617,FALSE,0.016329560769781534,0.033088882787831723,0.49350595710613265,0.6216551316960328,1.016463616744938,0.9526338570735282,1.0845701908392842,0.6546641249107349
q8trans_E_pep_c,46617,FALSE,0.013164901201993158,0.02739723501289006,0.4805193369257604,0.6308581567321627,1.0132519400470228,0.960276822397225,1.0691495098736878,0.6546641249107349
q8point_T_peptide,46617,FALSE,0.00826940797780407,0.02320711856155623,0.35633066448424855,0.7215929474894451,1.0083036939750925,0.9634674792682558,1.05522642036239,0.7349557798503609
mean_rsa_nflank,46580,FALSE,-0.016565932274981342,0.0600710250297244,-0.27577242550437875,0.7827228639990361,0.9835705282102735,0.8743232317379201,1.1064683504301753,0.7827228639990361
q8trans_B_n_pep,46617,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
q8trans_B_pep_c,46617,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
