feature,lr_coef_mean,lr_coef_std,lr_coef_abs_mean,rf_imp_mean,rf_imp_std,feature_type
P1_D,-0.04562614214623007,0.005404669859938193,0.04562614214623007,0.00013932455045747452,2.1521965515297656e-05,sparse_encoding
P1_E,-0.055484410116367955,0.004992613771913164,0.055484410116367955,0.000568916868111027,1.522566152127038e-05,sparse_encoding
P1_F,-0.004342450392661329,0.0037758611519713705,0.004342450392661329,0.002836484712337133,2.8644220562302955e-05,sparse_encoding
P1_G,0.0053452100386220305,0.006603709134575633,0.0053452100386220305,0.0023320621008989656,2.3101358813471575e-05,sparse_encoding
P1_H,0.030504692993265265,0.007918706613051748,0.030504692993265265,0.0014039016412438412,3.3619156636101595e-05,sparse_encoding
P1_I,-0.019312705214720397,0.0025674278157857204,0.019312705214720397,0.0021715587166308632,3.431260846332518e-05,sparse_encoding
P1_K,0.052517688712885105,0.002705725185067233,0.052517688712885105,0.0030985489105840947,4.004597136304574e-05,sparse_encoding
P1_L,-0.020025613795875162,0.007804740511726588,0.020025613795875162,0.002420964212658939,2.8892681567901784e-05,sparse_encoding
P1_M,-0.10213437302107849,0.005480640282916957,0.10213437302107849,0.001309298482222023,7.270526719048507e-05,sparse_encoding
P1_N,-0.01279210192437796,0.006608505169346741,0.01279210192437796,0.0012351677718196556,3.294159848261885e-05,sparse_encoding
P1_P,-0.0338080861026529,0.006254960622321906,0.0338080861026529,6.153903107880089e-05,5.816406779213721e-06,sparse_encoding
P1_Q,-0.019734956648884118,0.004026106515506552,0.019734956648884118,0.0016297397121199323,3.280565462747517e-05,sparse_encoding
P1_R,-0.018721244209826376,0.0009911841948905915,0.018721244209826376,0.0024464115096703826,4.340505126311732e-05,sparse_encoding
P1_S,0.04223596157478322,0.005524759580356845,0.04223596157478322,0.003198508761790167,5.545948709710503e-05,sparse_encoding
P1_T,0.025159149345990894,0.007788024428104354,0.025159149345990894,0.0020614008646748527,4.033252834674643e-05,sparse_encoding
P1_V,-0.015798551562537073,0.0039431719427401556,0.015798551562537073,0.002302651611054761,3.901055789147658e-05,sparse_encoding
