component_idx,explained_variance_ratio,cumulative_variance
580,0.00005205,0.98393452
581,0.00005188,0.98398638
582,0.00005165,0.98403805
583,0.00005156,0.98408961
584,0.00005145,0.98414105
585,0.00005141,0.98419249
586,0.00005127,0.98424375
587,0.00005115,0.98429489
588,0.00005094,0.98434585
589,0.00005093,0.98439676
590,0.00005071,0.98444748
591,0.00005060,0.98449808
592,0.00005044,0.98454851
593,0.00005034,0.98459882
594,0.00005012,0.98464894
595,0.00004999,0.98469895
596,0.00004994,0.98474890
597,0.00004978,0.98479867
598,0.00004974,0.98484838
599,0.00004962,0.98489797
600,0.00004950,0.98494750
601,0.00004939,0.98499691
602,0.00004932,0.98504621
603,0.00004909,0.98509532
604,0.00004890,0.98514420
605,0.00004879,0.98519295
606,0.00004864,0.98524159
607,0.00004857,0.98529017
608,0.00004842,0.98533857
609,0.00004824,0.98538679
610,0.00004823,0.98543501
611,0.00004799,0.98548299
612,0.00004798,0.98553097
613,0.00004773,0.98557872
614,0.00004762,0.98562634
615,0.00004757,0.98567390
616,0.00004741,0.98572129
617,0.00004731,0.98576862
618,0.00004719,0.98581582
619,0.00004702,0.98586285
620,0.00004699,0.98590982
621,0.00004694,0.98595679
622,0.00004688,0.98600370
623,0.00004677,0.98605049
624,0.00004666,0.98609716
625,0.00004662,0.98614377
626,0.00004657,0.98619032
627,0.00004628,0.98623657
628,0.00004622,0.98628277
629,0.00004612,0.98632890
630,0.00004602,0.98637491
631,0.00004585,0.98642075
632,0.00004571,0.98646647
633,0.00004567,0.98651212
634,0.00004547,0.98655760
635,0.00004540,0.98660302
636,0.00004526,0.98664826
637,0.00004522,0.98669350
638,0.00004497,0.98673844
639,0.00004492,0.98678339
640,0.00004481,0.98682821
641,0.00004474,0.98687297
642,0.00004462,0.98691761
643,0.00004458,0.98696220
644,0.00004447,0.98700666
645,0.00004441,0.98705107
646,0.00004424,0.98709530
647,0.00004419,0.98713946
648,0.00004414,0.98718363
649,0.00004394,0.98722756
650,0.00004383,0.98727137
651,0.00004368,0.98731506
652,0.00004361,0.98735869
653,0.00004350,0.98740220
654,0.00004333,0.98744553
655,0.00004327,0.98748881
656,0.00004316,0.98753196
657,0.00004307,0.98757505
658,0.00004297,0.98761803
659,0.00004293,0.98766094
660,0.00004288,0.98770380
661,0.00004274,0.98774654
662,0.00004264,0.98778915
663,0.00004254,0.98783171
664,0.00004239,0.98787409
665,0.00004235,0.98791641
666,0.00004221,0.98795861
667,0.00004214,0.98800075
668,0.00004206,0.98804283
669,0.00004200,0.98808485
670,0.00004184,0.98812670
671,0.00004174,0.98816842
672,0.00004170,0.98821014
673,0.00004164,0.98825181
674,0.00004146,0.98829329
675,0.00004143,0.98833472
676,0.00004129,0.98837602
677,0.00004126,0.98841727
678,0.00004115,0.98845840
679,0.00004091,0.98849928
680,0.00004084,0.98854011
681,0.00004081,0.98858094
682,0.00004066,0.98862159
683,0.00004058,0.98866218
684,0.00004051,0.98870271
685,0.00004031,0.98874301
686,0.00004027,0.98878330
687,0.00004018,0.98882347
688,0.00004006,0.98886353
689,0.00004000,0.98890352
690,0.00003996,0.98894346
691,0.00003975,0.98898321
692,0.00003973,0.98902297
693,0.00003964,0.98906261
694,0.00003954,0.98910213
695,0.00003944,0.98914158
696,0.00003933,0.98918092
697,0.00003929,0.98922020
698,0.00003917,0.98925936
699,0.00003906,0.98929840
700,0.00003902,0.98933744
701,0.00003891,0.98937637
702,0.00003879,0.98941517
703,0.00003870,0.98945385
704,0.00003865,0.98949248
705,0.00003851,0.98953098
706,0.00003843,0.98956943
707,0.00003837,0.98960781
708,0.00003833,0.98964614
709,0.00003829,0.98968440
710,0.00003824,0.98972267
711,0.00003806,0.98976070
712,0.00003802,0.98979872
713,0.00003787,0.98983657
714,0.00003781,0.98987436
715,0.00003773,0.98991209
716,0.00003760,0.98994970
717,0.00003748,0.98998719
718,0.00003744,0.99002463
719,0.00003737,0.99006200
720,0.00003722,0.99009919
721,0.00003710,0.99013627
722,0.00003702,0.99017328
723,0.00003688,0.99021018
724,0.00003687,0.99024707
725,0.00003673,0.99028379
726,0.00003664,0.99032044
727,0.00003655,0.99035698
728,0.00003649,0.99039346
